0,5;0,6;0,7;0,8;0,9
0,565;0,477;0,417;0,269;0,315
0,469;0,438;0,312;0,277;0,28
0,472;0,544;0,469;0,249;0,275
0,556;0,523;0,573;0,326;0,165
0,612;0,502;0,573;0,269;0,324
0,548;0,635;0,472;0,357;0,385
0,565;0,482;0,417;0,249;0,253
0,469;0,397;0,477;0,326;0,271
0,611;0,453;0,417;0,269;0,165
0,469;0,502;0,332;0,277;0,367
0,515;0,404;0,569;0,249;0,38
0,523;0,59;0,553;0,334;0,271
0,518;0,452;0,573;0,322;0,265
0,546;0,343;0,472;0,306;0,175
0,612;0,441;0,412;0,269;0,385
0,551;0,454;0,435;0,272;0,375
0,565;0,398;0,424;0,349;0,28
0,615;0,395;0,551;0,326;0,225
0,558;0,441;0,515;0,269;0,165
0,578;0,502;0,415;0,275;0,294
