0,5;0,6;0,7;0,8;0,9
0,565;0,477;0,417;0,269;0,385
0,465;0,438;0,312;0,277;0,28
0,472;0,544;0,469;0,249;0,275
0,516;0,4;0,573;0,326;0,165
0,612;0,502;0,573;0,269;0,385
0,548;0,635;0,472;0,277;0,38
0,565;0,482;0,417;0,249;0,291
0,563;0,397;0,435;0,326;0,275
0,469;0,453;0,424;0,326;0,165
0,611;0,502;0,521;0,326;0,385
0,469;0,404;0,415;0,269;0,385
0,515;0,515;0,415;0,272;0,28
0,513;0,452;0,427;0,249;0,275
0,518;0,343;0,443;0,226;0,165
0,516;0,441;0,417;0,269;0,385
0,612;0,414;0,431;0,275;0,38
0,548;0,398;0,415;0,229;0,291
0,565;0,462;0,412;0,326;0,275
0,515;0,441;0,417;0,315;0,165
0,513;0,446;0,437;0,281;0,385
